Hr Org Unit Key,Hr Org Unit Id,Hr Org Unit Title,Hr Org Unit Level,Hr Department Id,Hr Department Code,Hr Department Code Old,Hr Department Name,Hr Department Name Long,Hr Department Name Alpha,Org Hier School Area Name,Org Hier Top Level Name,Org Hier Root Name,Hr Org Level1 Id,Hr Org Level1 Sort,Hr Org Level1 Name,Hr Org Level2 Id,Hr Org Level2 Sort,Hr Org Level2 Name,Hr Org Level3 Id,Hr Org Level3 Sort,Hr Org Level3 Name,Hr Org Level4 Id,Hr Org Level4 Sort,Hr Org Level4 Name,Hr Org Level5 Id,Hr Org Level5 Sort,Hr Org Level5 Name,Dlc Key,Dlc Name,Warehouse Load Date
O10000584,10000584,Technology Development Program,DEPARTMENTS,10000584.0,HR-321000,321000.0,Technology Development Program,Technology and Development Program,Technology and Development Program,VP Research,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000032.0,281.0,VP Research,10000584.0,304.0,Technology Development Program,,,,D_TDP,Technology & Development Program,01/08/16 01:03 AM
O10000270,10000270,Architecture,DEPARTMENTS,10000270.0,HR-031000,31000.0,Architecture,Department of Architecture,"Architecture, Department of",Architecture & Planning Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000005.0,7.0,Architecture & Planning Area,10000270.0,21.0,Architecture,,,,D_ARCH,Architecture,01/08/16 01:03 AM
O10000569,10000569,Plasma Science and Fusion Center,DEPARTMENTS,10000569.0,HR-243000,243000.0,Plasma Science and Fusion Center,Plasma Science and Fusion Center,Plasma Science and Fusion Center,VP Research,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000032.0,281.0,VP Research,10000569.0,299.0,Plasma Science and Fusion Center,,,,D_PSFC,Plasma Sciences & Fusion Center,01/08/16 01:03 AM
O10000603,10000603,Office of the Provost,DEPARTMENTS,10000603.0,HR-401800,401800.0,Office of the Provost,Office of the Provost,Office of the Provost,Office of Provost Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000025.0,247.0,Office of Provost Area,10000218.0,248.0,Provost Office,10000603.0,251.0,Office of the Provost,D_PROVOST,Provost's Office,01/08/16 01:03 AM
O10000298,10000298,School of Engineering-UPOP,DEPARTMENTS,10000298.0,HR-060900,60900.0,School of Engineering-UPOP,School of Engineering - UPOP,School of Engineering - UPOP,Engineering Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000018.0,25.0,Engineering Area,10000298.0,69.0,School of Engineering-UPOP,,,,D_UPOP,Undergrad Practice Op Prog,01/08/16 01:03 AM
O10000759,10000759,Global Education & Career Developmnt Ctr,DEPARTMENTS,10000759.0,HR-446600,446600.0,Global Education & Career Developmnt Ctr,Global Education and Career Development Center,,Dean for Undergraduate Education Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000013.0,182.0,Dean for Undergraduate Education Area,10002683.0,183.0,MIT Careers Office Area,10000759.0,184.0,Global Education & Career Developmnt Ctr,D_CSPA,Career Serv & Pre-Prof Advising,01/08/16 01:03 AM
O10000722,10000722,Dean for Undergraduate Education,DEPARTMENTS,10000722.0,HR-441000,441000.0,Dean for Undergraduate Education,Office of the Dean for Undergraduate Education,Office of the Dean for Undergraduate Education,Dean for Undergraduate Education Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000013.0,182.0,Dean for Undergraduate Education Area,10000100.0,204.0,Dean for Undergraduate Education Offices,10000722.0,205.0,Dean for Undergraduate Education,D_DUE:HQ,DUE HQ,01/08/16 01:03 AM
O10000491,10000491,Chemistry,DEPARTMENTS,10000491.0,HR-152000,152000.0,Chemistry,Department of Chemistry,"Chemistry, Department of",Science Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000030.0,117.0,Science Area,10000491.0,124.0,Chemistry,,,,D_CHEM,Chemistry,01/08/16 01:03 AM
O10004508,10004508,Financial Systems and Data,DEPARTMENTS,10004508.0,HR-407025,407025.0,Financial Systems and Data,Financial Systems and Data,Financial Systems and Data,VP for Finance Area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10003333.0,323.0,VP for Finance Area,10004508.0,335.0,Financial Systems and Data,,,,D_CAS,Controller & Accounting Services,01/08/16 01:03 AM
O10002908,10002908,EHS Headquarters Area,ORGANIZATION LEVEL,,,,,,,EHS Headquarters Area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10002908.0,319.0,EHS Headquarters Area,,,,,,,,,01/08/16 01:03 AM
O10002535,10002535,Student Activities,DEPARTMENTS,10002535.0,HR-441600,441600.0,Student Activities,Student Activities,Student Activities,Dean for Student Life Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000012.0,140.0,Dean for Student Life Area,10002858.0,144.0,Student Development Area,10002535.0,145.0,Student Activities,D_SLP,Student Life Programs,01/08/16 01:03 AM
O10000746,10000746,Dean for Student Life - Dept Heads,DEPARTMENTS,10000746.0,HR-442010,442010.0,Dean for Student Life - Dept Heads,Office of the Dean for Student Life - Dept Heads,Dean for Student Life - Department Heads,Dean for Student Life Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000012.0,140.0,Dean for Student Life Area,10000099.0,155.0,Dean for Student Life Offices,10000746.0,157.0,Dean for Student Life - Dept Heads,D_DSL:HQ,Dean for Student Life - Headquarters,01/08/16 01:03 AM
O10000272,10000272,Center for Real Estate,DEPARTMENTS,10000272.0,HR-033000,33000.0,Center for Real Estate,Center for Real Estate,Center for Real Estate,Architecture & Planning Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000005.0,7.0,Architecture & Planning Area,10003933.0,9.0,Center for Real Estate Area,10000272.0,11.0,Center for Real Estate,D_CRE,Center for Real Estate,01/08/16 01:03 AM
O10000751,10000751,"Dean of Humanities, Arts, and Social Sci",DEPARTMENTS,10000751.0,HR-442300,442300.0,"Dean of Humanities, Arts, and Social Sci","Office of the Dean of Humanities, Arts & Social Sc",Dean of Humanities and Social Science,"Humanities, Arts, & Social Sciences Area",Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000020.0,85.0,"Humanities, Arts, & Social Sciences Area",10000751.0,94.0,"Dean of Humanities, Arts, and Social Sci",,,,D_DHSS,Dean of Humanities & Social Sciences,01/08/16 01:03 AM
O10000550,10000550,Clinical Research Center,DEPARTMENTS,10000550.0,HR-163000,163000.0,Clinical Research Center,Clinical Research Center,Clinical Research Center,Whitaker,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000036.0,312.0,Whitaker,10000550.0,315.0,Clinical Research Center,,,,D_CLINRES,Clinical Research Center,01/08/16 01:03 AM
O10000744,10000744,Office of Student Citizenship,DEPARTMENTS,10000744.0,HR-441800,441800.0,Office of Student Citizenship,Office of Student Citizenship,,Dean for Student Life Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000012.0,140.0,Dean for Student Life Area,10002885.0,153.0,Student Support Area,10000744.0,154.0,Office of Student Citizenship,D_DSL:HQ,Dean for Student Life - Headquarters,01/08/16 01:03 AM
