Hr Org Unit Key,Hr Org Unit Id,Hr Org Unit Title,Hr Org Unit Level,Hr Department Id,Hr Department Code,Hr Department Code Old,Hr Department Name,Hr Department Name Long,Hr Department Name Alpha,Org Hier School Area Name,Org Hier Top Level Name,Org Hier Root Name,Hr Org Level1 Id,Hr Org Level1 Sort,Hr Org Level1 Name,Hr Org Level2 Id,Hr Org Level2 Sort,Hr Org Level2 Name,Hr Org Level3 Id,Hr Org Level3 Sort,Hr Org Level3 Name,Hr Org Level4 Id,Hr Org Level4 Sort,Hr Org Level4 Name,Hr Org Level5 Id,Hr Org Level5 Sort,Hr Org Level5 Name,Dlc Key,Warehouse Load Date
O10002461,10002461,Facilities Dev Design Eng & Construction,DEPARTMENTS,10002461,HR-591040,591040,Facilities Dev Design Eng & Construction,Department of Facilities,Facilities Dev Design Eng & Construction,MIT Department of Facilities area,Executive Vice President Area,MIT-All,10000000,1.00,MIT-All,10000002,316.00,Executive Vice President Area,10004934,361.00,MIT Department of Facilities area,10002458,362.00,Campus Services area,10002461,365.00,Facilities Dev Design Eng & Construction,D_FACILITIES,01/08/16 01:03 AM
O10002608,10002608,Office of the Recording Secretary,DEPARTMENTS,10002608,HR-410025,410025,Office of the Recording Secretary,Office of the Recording Secretary,Office of the Recording Secretary,Executive Vice President Area,Executive Vice President Area,MIT-All,10000000,1.00,MIT-All,10000002,316.00,Executive Vice President Area,10002608,421.00,Office of the Recording Secretary,"","","","","","",D_EXECVP,01/08/16 01:03 AM
O10002733,10002733,SHASS Department Heads,DEPARTMENTS,10002733,HR-090100,090100,SHASS Department Heads,SHASS Department Heads,SHASS Department Heads,"Humanities, Arts, & Social Sciences Area",Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000020,85.00,"Humanities, Arts, & Social Sciences Area",10002733,96.00,SHASS Department Heads,"","","",D_HUM_DEPTHEAD,01/08/16 01:03 AM
O10002759,10002759,DLC Heads Science,DEPARTMENTS,10002759,HR-150100,150100,DLC Heads Science,DLC Heads Science,DLC Heads Science,Science Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000030,117.00,Science Area,10002759,118.00,DLC Heads Science,"","","",D_SCI_DEPTHEAD,01/08/16 01:03 AM
O10002883,10002883,Student Leadership Development,DEPARTMENTS,10002883,HR-441500,441500,Student Leadership Development,Student Leadership Development,Student Leadership Development,Dean for Student Life Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000012,140.00,Dean for Student Life Area,10002858,144.00,Student Development Area,10002883,147.00,Student Leadership Development,D_SLP,01/08/16 01:03 AM
O10002887,10002887,PKG Public Service Center,DEPARTMENTS,10002887,HR-441320,441320,PKG Public Service Center,PKG Public Service Center,PKG Public Service Center,Dean for Student Life Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000012,140.00,Dean for Student Life Area,10002858,144.00,Student Development Area,10002887,148.00,PKG Public Service Center,D_SLP,01/08/16 01:03 AM
O10003033,10003033,Amgen Scholars,DEPARTMENTS,10003033,HR-444100,444100,Amgen Scholars,Amgen Scholars,Amgen Scholars,Dean for Undergraduate Education Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000013,182.00,Dean for Undergraduate Education Area,10002984,189.00,UAAP Area,10003033,191.00,Amgen Scholars,D_UAAP,01/08/16 01:03 AM
O10003183,10003183,Gordon Engineering Leadership Program,DEPARTMENTS,10003183,HR-061350,061350,Gordon Engineering Leadership Program,Gordon Engineering Leadership Program,Gordon Engineering Leadership Program,Engineering Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000018,25.00,Engineering Area,10003183,38.00,Gordon Engineering Leadership Program,"","","",D_GLP,01/08/16 01:03 AM
O10002536,10002536,The Aga Khan Program,DEPARTMENTS,10002536,HR-031500,031500,The Aga Khan Program,The Aga Khan Program,The Aga Khan Program,Architecture & Planning Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000005,7.00,Architecture & Planning Area,10002536,20.00,The Aga Khan Program,"","","",D_ARCH,01/08/16 01:03 AM
O10003283,10003283,MIT-HHMI Affiliation,DEPARTMENTS,10003283,HR-155000,155000,MIT-HHMI Affiliation,MIT-HHMI Affiliation,MIT-HHMI Affiliation,Science Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000030,117.00,Science Area,10003283,119.00,MIT-HHMI Affiliation,"","","",D_HHMI,01/08/16 01:03 AM
