Fclt Building Address Key,Fclt Building Key,Fiscal Period,Fclt Building Address Hist Key,Building Number,Address Purpose,Address City Id,Is E911 Address,Street Number,Street Number Suffix,Pre Directional,Street Name,Street Suffix,Post Directional,City,State,Postal Code,Warehouse Load Date
E60-PARCL1,E60,201509,E60-PARCL1-201509,E60,PARCL1,"","",MEM30,"","","","","","","",02142,04/01/15 05:12 AM
E60-STREET,E60,201509,E60-STREET-201509,E60,STREET,6394,"",30,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
E62-E911_1,E62,201509,E62-E911_1-201509,E62,E911_1,31706,"",100,"","",MAIN,ST,"",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
E62-MAIL,E62,201509,E62-MAIL-201509,E62,MAIL,31706,"",100,"","",MAIN,ST,"",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
E62-STREET,E62,201509,E62-STREET-201509,E62,STREET,31706,"",100,"","",MAIN,ST,"",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
E70-E911_1,E70,201509,E70-E911_1-201509,E70,E911_1,4149,"",1,"","",BROADWAY,"","",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
E70-MAIL,E70,201509,E70-MAIL-201509,E70,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
E70-STREET,E70,201509,E70-STREET-201509,E70,STREET,4149,"",1,"","",BROADWAY,"","",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
E90-E911_1,E90,201509,E90-E911_1-201509,E90,E911_1,"","",1,"","",MAIN,ST,"",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
E90-STREET,E90,201509,E90-STREET-201509,E90,STREET,"","",1,"","",MAIN,ST,"",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
EE19-E911_1,EE19,201509,EE19-E911_1-201509,EE19,E911_1,"","",1,"","",ROGERS,ST,"",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
EE19-STREET,EE19,201509,EE19-STREET-201509,EE19,STREET,"","",1,"","",ROGERS,ST,"",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
