Fclt Building Address Key,Fclt Building Key,Fiscal Period,Fclt Building Address Hist Key,Building Number,Address Purpose,Address City Id,Is E911 Address,Street Number,Street Number Suffix,Pre Directional,Street Name,Street Suffix,Post Directional,City,State,Postal Code,Warehouse Load Date
W61M-STREET,W61M,201509,W61M-STREET-201509,W61M,STREET,44,"",450,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W64-E911_1,W64,201509,W64-E911_1-201509,W64,E911_1,"","",219,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W64-MAIL,W64,201509,W64-MAIL-201509,W64,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W64-STREET,W64,201509,W64-STREET-201509,W64,STREET,"","",219,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70-E911_1,W70,201509,W70-E911_1-201509,W70,E911_1,627,"",471,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70-E911_2,W70,201509,W70-E911_2-201509,W70,E911_2,24912,"",472,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70-E911_3,W70,201509,W70-E911_3-201509,W70,E911_3,24913,"",473,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70-E911_4,W70,201509,W70-E911_4-201509,W70,E911_4,24914,"",474,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70-E911_5,W70,201509,W70-E911_5-201509,W70,E911_5,24915,"",475,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70-E911_6,W70,201509,W70-E911_6-201509,W70,E911_6,24916,"",476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70-MAIL,W70,201509,W70-MAIL-201509,W70,MAIL,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70-PARCL1,W70,201509,W70-PARCL1-201509,W70,PARCL1,"","",MEM430,"","","","","","","",02139,04/01/15 05:12 AM
W70-STREET,W70,201509,W70-STREET-201509,W70,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70A-E911_1,W70A,201509,W70A-E911_1-201509,W70A,E911_1,"","",471,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70A-STREET,W70A,201509,W70A-STREET-201509,W70A,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70B-E911_1,W70B,201509,W70B-E911_1-201509,W70B,E911_1,"","",471,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70B-STREET,W70B,201509,W70B-STREET-201509,W70B,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70C-E911_1,W70C,201509,W70C-E911_1-201509,W70C,E911_1,"","",471,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70C-STREET,W70C,201509,W70C-STREET-201509,W70C,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70D-E911_1,W70D,201509,W70D-E911_1-201509,W70D,E911_1,"","",471,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70D-STREET,W70D,201509,W70D-STREET-201509,W70D,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70E-E911_1,W70E,201509,W70E-E911_1-201509,W70E,E911_1,"","",471,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70E-STREET,W70E,201509,W70E-STREET-201509,W70E,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70F-E911_1,W70F,201509,W70F-E911_1-201509,W70F,E911_1,"","",471,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70F-E911_2,W70F,201509,W70F-E911_2-201509,W70F,E911_2,"","",476,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70F-STREET,W70F,201509,W70F-STREET-201509,W70F,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
