Subject Key,Subject Offered Summary Key,Master Subject Key,Composite Subject Key,Term Code,Master Course Number,Master Course Number Sort,Master Course Number Desc,Master Subject Id,Master Subject Id Sort,Course Number,Course Number Sort,Course Number Desc,Subject Id,Subject Id Sort,Subject Title,Section Id,Is Master Section,Is Lecture Section,Is Lab Section,Is Recitation Section,Is Design Section,Offer Dept Code,Offer Dept Name,Offer School Name,Responsible Faculty Name,Responsible Faculty Mit Id,Meet Time,Meet Place,Cluster Type,Cluster Type Desc,Cluster List,Hgn Code,Hgn Code Desc,Form Type,Form Type Desc,Subject Enrollment Number,Section Enrollment Number,Cluster Enrollment Number,Evaluate This Subject,Is Ose Subject,Is Created By Data Warehouse,Subject Grouping Key,Warehouse Load Date,Num Enrolled Students,Subject Summary Key,Is Repeatable Subject
017A080001998FA,17.A081998FA,017A080001998FA,17.A081998FA,1998FA,17,17,Political Science,17.A08, 17.A08,17,17,Political Science,17.A08, 17.A08,"Wildlife, Habitats, & Politics",0,Y,N,N,N,N,17,Political Science,"Hum, Arts & Social Sciences",,,,,,,,N,Not for graduate credit,,,9,9,,N,,N,86CD649594AA0327E0440003BACE90BC,5/8/01 0:00,9,17.A081998FA,N
017A09R011998FA,17.A091998FA,017A09R011998FA,17.A091998FA,1998FA,17,17,Political Science,17.A09, 17.A09,17,17,Political Science,17.A09, 17.A09,Money in US Politics,R01,N,N,N,Y,N,17,Political Science,"Hum, Arts & Social Sciences",,,M EVE (7-9 PM),,,,,N,Not for graduate credit,,,,,,N,,N,86CD649594AB0327E0440003BACE90BC,5/8/01 0:00,0,17.A091998FA,N
017S210001998FA,17.S211998FA,017S210001998FA,17.S211998FA,1998FA,17,17,Political Science,17.S21, 17.S21,17,17,Political Science,17.S21, 17.S21,Introduction to Japan,0,Y,N,N,N,N,17,Political Science,"Hum, Arts & Social Sciences","Samuels, Richard",900017082,,,,,,N,Not for graduate credit,,,23,23,,N,,N,86CD649594AD0327E0440003BACE90BC,5/8/01 0:00,23,17.S211998FA,N
017S44R011998FA,17.S441998FA,017S44R011998FA,17.S441998FA,1998FA,17,17,Political Science,17.S44, 17.S44,17,17,Political Science,17.S44, 17.S44,Civil Rights Movement,R01,N,N,N,Y,N,17,Political Science,"Hum, Arts & Social Sciences",,,W3-5,E51-063,,,,N,Not for graduate credit,,,,,,N,,N,86CD649594AE0327E0440003BACE90BC,5/8/01 0:00,0,17.S441998FA,N
017420L011998FA,17.4201998FA,017420L011998FA,17.4201998FA,1998FA,17,17,Political Science,17.42,17.42,17,17,Political Science,17.42,17.42,Theor: International Relations,L01,N,Y,N,N,N,17,Political Science,"Hum, Arts & Social Sciences",,,M9-11,E51-165,,,,H,Higher level graduate program,,,,,,N,,N,86CD649594870327E0440003BACE90BC,5/8/01 0:00,0,17.4201998FA,N
018979L011998FA,18.9791998FA,018979L011998FA,18.9791998FA,1998FA,18,18,Mathematics,18.979,18.979,18,18,Mathematics,18.979,18.979,Graduate Geometry Seminar,L01,N,Y,N,N,N,18,Mathematics,Science,,,MW11-12.30,  2-103,,,,H,Higher level graduate program,,,,,,N,,N,86CD649594EC0327E0440003BACE90BC,5/8/01 0:00,0,18.9791998FA,Y
0180130001998FA,18.0131998FA,0180130001998FA,18.0131998FA,1998FA,18,18,Mathematics,18.013,18.013,18,18,Mathematics,18.013,18.013,Calculus with Applications,0,Y,N,N,N,N,18,Mathematics,Science,"Greenspan, Harvey",900015890,,,,,,N,Not for graduate credit,,,6,6,,N,,N,86CD649594B20327E0440003BACE90BC,5/8/01 0:00,6,18.0131998FA,N
018014R021998FA,18.0141998FA,018014R021998FA,18.0141998FA,1998FA,18,18,Mathematics,18.014,18.014,18,18,Mathematics,18.014,18.014,Calculus with Theory,R02,N,N,N,Y,N,18,Mathematics,Science,,,TR12 (REC STARTS SEPT 10),  4-153,,,,N,Not for graduate credit,,,,,,N,,N,86CD649594B30327E0440003BACE90BC,5/8/01 0:00,0,18.0141998FA,N
01801AR031998FA,18.01A1998FA,01801AR031998FA,18.01A1998FA,1998FA,18,18,Mathematics,18.01A, 18.01A,18,18,Mathematics,18.01A, 18.01A,Calculus,R03,N,N,N,Y,N,18,Mathematics,Science,,,MW12 (REC STARTS SEPT 3),  2-146,,,,N,Not for graduate credit,,,,,,N,,N,86CD649594B40327E0440003BACE90BC,5/8/01 0:00,0,18.01A1998FA,N
01801AR081998FA,18.01A1998FA,01801AR081998FA,18.01A1998FA,1998FA,18,18,Mathematics,18.01A, 18.01A,18,18,Mathematics,18.01A, 18.01A,Calculus,R08,N,N,N,Y,N,18,Mathematics,Science,,,TR9 (REC STARTS SEPT 4),  2-142,,,,N,Not for graduate credit,,,,,,N,,N,86CD649594B40327E0440003BACE90BC,5/8/01 0:00,0,18.01A1998FA,N
018020001998FA,18.021998FA,018020001998FA,18.021998FA,1998FA,18,18,Mathematics,18.02,18.02,18,18,Mathematics,18.02,18.02,Calculus,0,Y,N,N,N,N,18,Mathematics,Science,"Rogers, Hartley",900018809,,,,,,N,Not for graduate credit,,,376,376,,N,,N,86CD649590CB0327E0440003BACE90BC,5/8/01 0:00,376,18.021998FA,N
01802R051998FA,18.021998FA,01802R051998FA,18.021998FA,1998FA,18,18,Mathematics,18.02,18.02,18,18,Mathematics,18.02,18.02,Calculus,R05,N,N,N,Y,N,18,Mathematics,Science,,,MW12 (REC STARTS SEPT 9),  2-135,,,,N,Not for graduate credit,,,,,,N,,N,86CD649590CB0327E0440003BACE90BC,5/8/01 0:00,0,18.021998FA,N
01802R151998FA,18.021998FA,01802R151998FA,18.021998FA,1998FA,18,18,Mathematics,18.02,18.02,18,18,Mathematics,18.02,18.02,Calculus,R15,N,N,N,Y,N,18,Mathematics,Science,,,TR11 (REC STARTS SEPT 10),  2-136,,,,N,Not for graduate credit,,,,,,N,,N,86CD649590CB0327E0440003BACE90BC,5/8/01 0:00,0,18.021998FA,N
01802R201998FA,18.021998FA,01802R201998FA,18.021998FA,1998FA,18,18,Mathematics,18.02,18.02,18,18,Mathematics,18.02,18.02,Calculus,R20,N,N,N,Y,N,18,Mathematics,Science,,,MW2  (REC STARTS SEPT 9),  4-153,,,,N,Not for graduate credit,,,,,,N,,N,86CD649590CB0327E0440003BACE90BC,5/8/01 0:00,0,18.021998FA,N
018023R031998FA,18.0231998FA,018023R031998FA,18.0231998FA,1998FA,18,18,Mathematics,18.023,18.023,18,18,Mathematics,18.023,18.023,Calculus with Applications,R03,N,N,N,Y,N,18,Mathematics,Science,,,TR11 (REC STARTS SEPT 9),  8-302,,,,N,Not for graduate credit,,,,,,N,,N,86CD649594B50327E0440003BACE90BC,5/8/01 0:00,0,18.0231998FA,N
01802SR011998FA,18.02S1998FA,01802SR011998FA,18.02S1998FA,1998FA,18,18,Mathematics,18.02S, 18.02S,18,18,Mathematics,18.02S, 18.02S,Calculus,R01,N,N,N,Y,N,18,Mathematics,Science,,,MW11 (REC STARTS SEPT 4),  2-147,,,,N,Not for graduate credit,,,,,,N,,N,86CD649594B70327E0440003BACE90BC,5/8/01 0:00,0,18.02S1998FA,N
01803R011998FA,18.031998FA,01803R011998FA,18.031998FA,1998FA,18,18,Mathematics,18.03,18.03,18,18,Mathematics,18.03,18.03,Differential Equations,R01,N,N,N,Y,N,18,Mathematics,Science,,,MW2(REC STARTS SEPT 4),  4-145,,,,N,Not for graduate credit,,,,,,N,,N,86CD649590CC0327E0440003BACE90BC,5/8/01 0:00,0,18.031998FA,N
