Subject Key,Subject Offered Summary Key,Master Subject Key,Composite Subject Key,Term Code,Master Course Number,Master Course Number Sort,Master Course Number Desc,Master Subject Id,Master Subject Id Sort,Course Number,Course Number Sort,Course Number Desc,Subject Id,Subject Id Sort,Subject Title,Section Id,Is Master Section,Is Lecture Section,Is Lab Section,Is Recitation Section,Is Design Section,Offer Dept Code,Offer Dept Name,Offer School Name,Responsible Faculty Name,Responsible Faculty Mit Id,Meet Time,Meet Place,Cluster Type,Cluster Type Desc,Cluster List,Hgn Code,Hgn Code Desc,Form Type,Form Type Desc,Subject Enrollment Number,Section Enrollment Number,Cluster Enrollment Number,Evaluate This Subject,Is Ose Subject,Is Created By Data Warehouse,Subject Grouping Key,Warehouse Load Date,Num Enrolled Students,Subject Summary Key,Is Repeatable Subject
0179590001997SU,17.9591997SU,0179590001997SU,17.9591997SU,1997SU,17,17,Political Science,17.959,17.959,17,17,Political Science,17.959,17.959,Reading Seminar in Soc Science,0,Y,N,N,N,N,17,Political Science,"Hum, Arts & Social Sciences",,,,,,,,H,Higher level graduate program,,,1,1,,N,,N,86CD64958F980327E0440003BACE90BC,5/8/01 0:00,1,17.9591997SU,Y
017NIV0001997SU,17.NIV1997SU,017NIV0001997SU,17.NIV1997SU,1997SU,17,17,Political Science,17.NIV, 17.NIV,17,17,Political Science,17.NIV, 17.NIV,Visiting Student Research,0,Y,N,N,N,N,17,Political Science,"Hum, Arts & Social Sciences",,,,,,,,N,Not for graduate credit,,,0,,,N,,N,,5/8/01 0:00,0,17.NIV1997SU,Y
017THU0001997SU,17.THU1997SU,017THU0001997SU,17.THU1997SU,1997SU,17,17,Political Science,17.THU, 17.THU,17,17,Political Science,17.THU, 17.THU,Thesis,0,Y,N,N,N,N,17,Political Science,"Hum, Arts & Social Sciences","Samuels, Richard",900017082,,,,,,N,Not for graduate credit,,,1,1,,N,,N,86CD64958F9B0327E0440003BACE90BC,5/8/01 0:00,1,17.THU1997SU,Y
024205L011998SP,24.2051998SP,024205L011998SP,24.2051998SP,1998SP,24,24,Linguistics and Philosophy,24.205,24.205,24,24,Linguistics and Philosophy,24.205,24.205,The Good Life,L01,N,Y,N,N,N,24,Linguistics and Philosophy,"Hum, Arts & Social Sciences",,,M2-5, 24-110,,,,N,Not for graduate credit,,,,,,N,,N,86CD64959C8B0327E0440003BACE90BC,5/8/01 0:00,0,24.2051998SP,N
0242600001998SP,24.2601998SP,0242600001998SP,24.2601998SP,1998SP,24,24,Linguistics and Philosophy,24.26,24.26,24,24,Linguistics and Philosophy,24.26,24.26,Topics in Philosophy,0,Y,N,N,N,N,24,Linguistics and Philosophy,"Hum, Arts & Social Sciences","Glanzberg, Michael",900041700,,,,,,N,Not for graduate credit,,,9,9,,N,,N,86CD64959C8E0327E0440003BACE90BC,5/8/01 0:00,9,24.2601998SP,N
0244010001998SP,24.4011998SP,0244010001998SP,24.4011998SP,1998SP,24,24,Linguistics and Philosophy,24.401,24.401,24,24,Linguistics and Philosophy,24.401,24.401,Proseminar-Philosophy II,0,Y,N,N,N,N,24,Linguistics and Philosophy,"Hum, Arts & Social Sciences","Stalnaker, Robert",900024449,,,,,,H,Higher level graduate program,,,5,5,,N,,N,86CD64959C910327E0440003BACE90BC,5/8/01 0:00,5,24.4011998SP,N
0245000001998SP,24.5001998SP,0245000001998SP,24.5001998SP,1998SP,24,24,Linguistics and Philosophy,24.5,24.5,24,24,Linguistics and Philosophy,24.5,24.5,Consciousness,0,Y,N,N,N,N,24,Linguistics and Philosophy,"Hum, Arts & Social Sciences","Byrne, Alexander",900020165,,,,,,H,Higher level graduate program,,,6,6,,N,,N,86CD64959C920327E0440003BACE90BC,5/8/01 0:00,6,24.5001998SP,Y
0245010001998SP,24.5011998SP,0245010001998SP,24.5011998SP,1998SP,24,24,Linguistics and Philosophy,24.501,24.501,24,24,Linguistics and Philosophy,24.501,24.501,Problems in Metaphysics,0,Y,N,N,N,N,24,Linguistics and Philosophy,"Hum, Arts & Social Sciences","Thomson, Judith",900019215,,,,,,H,Higher level graduate program,,,11,11,,N,,N,86CD64959C930327E0440003BACE90BC,5/8/01 0:00,11,24.5011998SP,Y
21L011R031998SP,21L.0111998SP,21L011R031998SP,21L.0111998SP,1998SP,21L,21L,Literature,21L.011,21L.011,21L,21L,Literature,21L.011,21L.011,The Film Experience,R03,N,N,N,Y,N,21L,Literature,"Hum, Arts & Social Sciences",,,R11-12.30, 56-114,,,,N,Not for graduate credit,,,,,,N,,N,86CD64959D500327E0440003BACE90BC,5/8/01 0:00,0,21L.0111998SP,N
21L434B011998SP,21L.4341998SP,21L434B011998SP,21L.4341998SP,1998SP,21L,21L,Literature,21L.434,21L.434,21L,21L,Literature,21L.434,21L.434,Science Fiction,B01,N,N,Y,N,N,21L,Literature,"Hum, Arts & Social Sciences",,,M EVE (7-10 PM),0.00E+00,,,,N,Not for graduate credit,,,,,,N,,N,86CD64959D520327E0440003BACE90BC,5/8/01 0:00,0,21L.4341998SP,N
21L4750001998SP,21L.4751998SP,21L4750001998SP,21L.4751998SP,1998SP,21L,21L,Literature,21L.475,21L.475,21L,21L,Literature,21L.475,21L.475,Irish Literature,0,Y,N,N,N,N,21L,Literature,"Hum, Arts & Social Sciences",,,,,,,,N,Not for graduate credit,,,3,3,,N,,N,86CD64959D560327E0440003BACE90BC,5/8/01 0:00,3,21L.4751998SP,N
21L484L011998SP,21L.4841998SP,21F073L011998SP,21F.0731998SP,1998SP,21F,21F,Foreign Languages/Literatures,21F.073,21F.073,21L,21L,Literature,21L.484,21L.484,20th-Cent Russian Literature,L01,N,Y,N,N,N,21L,Literature,"Hum, Arts & Social Sciences",,,W EVE (7-9.30 PM),14N-313,J,Joint subject,"21F.073, 21L.484",N,Not for graduate credit,,,,,,N,,N,86CD64959D0A0327E0440003BACE90BC,5/8/01 0:00,0,21L.4841998SP,N
21L4890001998SP,21L.4891998SP,21W7650001998SP,21W.7651998SP,1998SP,21W,21W,Writing & Humanistic Studies,21W.765,21W.765,21L,21L,Literature,21L.489,21L.489,Interactive & Non-Linear Narr,0,Y,N,N,N,N,21L,Literature,"Hum, Arts & Social Sciences","Murray, Jan",JMURR21F,,,J,Joint subject,"21L.489, 21L.989, 21W.765",N,Not for graduate credit,,,2,2,19,N,,N,86CD64959DA00327E0440003BACE90BC,5/8/01 0:00,2,21L.4891998SP,N
21L701L011998SP,21L.7011998SP,21L701L011998SP,21L.7011998SP,1998SP,21L,21L,Literature,21L.701,21L.701,21L,21L,Literature,21L.701,21L.701,Literary Interpretation,L01,N,Y,N,N,N,21L,Literature,"Hum, Arts & Social Sciences",,,W EVE (7-10 PM), 56-169,,,,N,Not for graduate credit,,,,,,N,,N,86CD64959D5A0327E0440003BACE90BC,5/8/01 0:00,0,21L.7011998SP,Y
21L703L011998SP,21L.7031998SP,21L703L011998SP,21L.7031998SP,1998SP,21L,21L,Literature,21L.703,21L.703,21L,21L,Literature,21L.703,21L.703,Studies in Drama,L01,N,Y,N,N,N,21L,Literature,"Hum, Arts & Social Sciences",,,TR2.30-4,14N-417,,,,N,Not for graduate credit,,,,,,N,,N,86CD64959D5C0327E0440003BACE90BC,5/8/01 0:00,0,21L.7031998SP,Y
21L706B011998SP,21L.7061998SP,21L706B011998SP,21L.7061998SP,1998SP,21L,21L,Literature,21L.706,21L.706,21L,21L,Literature,21L.706,21L.706,Studies in Film and Media,B01,N,N,Y,N,N,21L,Literature,"Hum, Arts & Social Sciences",,,W EVE (7-10 PM),0.00E+00,,,"21L.706, 21L.906",N,Not for graduate credit,,,,,,N,,N,86CD64959D5E0327E0440003BACE90BC,5/8/01 0:00,0,21L.7061998SP,Y
21L9060001998SP,21L.9061998SP,21L7060001998SP,21L.7061998SP,1998SP,21L,21L,Literature,21L.706,21L.706,21L,21L,Literature,21L.906,21L.906,Studies in Film and Media,0,Y,N,N,N,N,21L,Literature,"Hum, Arts & Social Sciences","Jenkins, Henry",900022696,,,M,Meeting Together,"21L.706, 21L.906",G,Graduate program,,,0,,10,N,,N,86CD64959D5E0327E0440003BACE90BC,5/8/01 0:00,0,21L.9061998SP,Y
21L9080001998SP,21L.9081998SP,21L7080001998SP,21L.7081998SP,1998SP,21L,21L,Literature,21L.708,21L.708,21L,21L,Literature,21L.908,21L.908,Technologies of Humanism,0,Y,N,N,N,N,21L,Literature,"Hum, Arts & Social Sciences","Donaldson, Peter",900018467,,,M,Meeting Together,"21L.708, 21L.908",G,Graduate program,,,0,,6,N,,N,86CD64959D5F0327E0440003BACE90BC,5/8/01 0:00,0,21L.9081998SP,N
21M011L011998SP,21M.0111998SP,21M011L011998SP,21M.0111998SP,1998SP,21M,21M,Music and Theater Arts,21M.011,21M.011,21M,21M,Music and Theater Arts,21M.011,21M.011,Intro to Western Music,L01,N,Y,N,N,N,21M,Music and Theater Arts,"Hum, Arts & Social Sciences",,,W3.30-5,  4-270,,,,N,Not for graduate credit,,,,,,N,,N,86CD64959D630327E0440003BACE90BC,5/8/01 0:00,0,21M.0111998SP,N
21L011R011998SP,21L.0111998SP,21L011R011998SP,21L.0111998SP,1998SP,21L,21L,Literature,21L.011,21L.011,21L,21L,Literature,21L.011,21L.011,The Film Experience,R01,N,N,N,Y,N,21L,Literature,"Hum, Arts & Social Sciences",,,R11-12.30, 56-191,,,,N,Not for graduate credit,,,,,,N,,N,86CD64959D500327E0440003BACE90BC,5/8/01 0:00,0,21L.0111998SP,N
21M011R031998SP,21M.0111998SP,21M011R031998SP,21M.0111998SP,1998SP,21M,21M,Music and Theater Arts,21M.011,21M.011,21M,21M,Music and Theater Arts,21M.011,21M.011,Intro to Western Music,R03,N,N,N,Y,N,21M,Music and Theater Arts,"Hum, Arts & Social Sciences",,,TR10,  4-156,,,,N,Not for graduate credit,,,,17,,N,,N,86CD64959D630327E0440003BACE90BC,5/8/01 0:00,17,21M.0111998SP,N
21M0300001998SP,21M.0301998SP,21M0300001998SP,21M.0301998SP,1998SP,21M,21M,Music and Theater Arts,21M.030,21M.030,21M,21M,Music and Theater Arts,21M.030,21M.030,Intro to World Music,0,Y,N,N,N,N,21M,Music and Theater Arts,"Hum, Arts & Social Sciences","Ruckert, George",900026438,,,,,,N,Not for graduate credit,,,19,19,,N,,N,86CD64959D640327E0440003BACE90BC,5/8/01 0:00,19,21M.0301998SP,N
21M0650001998SP,21M.0651998SP,21M0650001998SP,21M.0651998SP,1998SP,21M,21M,Music and Theater Arts,21M.065,21M.065,21M,21M,Music and Theater Arts,21M.065,21M.065,Intro to Music Composition,0,Y,N,N,N,N,21M,Music and Theater Arts,"Hum, Arts & Social Sciences","Ziporyn, Evan",900024380,,,,,,N,Not for graduate credit,,,18,18,,N,,N,86CD64959D660327E0440003BACE90BC,5/8/01 0:00,18,21M.0651998SP,N
21M113L011998SP,21M.1131998SP,21M113L011998SP,21M.1131998SP,1998SP,21M,21M,Music and Theater Arts,21M.113,21M.113,21M,21M,Music and Theater Arts,21M.113,21M.113,Developing Musical Structures,L01,N,Y,N,N,N,21M,Music and Theater Arts,"Hum, Arts & Social Sciences",,,MW11-12.30,20C-113,,,,N,Not for graduate credit,,,,,,N,,N,86CD64959D670327E0440003BACE90BC,5/8/01 0:00,0,21M.1131998SP,N
21M2260001998SP,21M.2261998SP,21M2260001998SP,21M.2261998SP,1998SP,21M,21M,Music and Theater Arts,21M.226,21M.226,21M,21M,Music and Theater Arts,21M.226,21M.226,Jazz,0,Y,N,N,N,N,21M,Music and Theater Arts,"Hum, Arts & Social Sciences","Harvey, Mark",900017911,,,,,,N,Not for graduate credit,,,19,19,,N,,N,86CD64959D690327E0440003BACE90BC,5/8/01 0:00,19,21M.2261998SP,N
HAL35800001998SP,HAL.35801998SP,HAL00000001998SP,HAL.00001998SP,1998SP,HAL,HAL,"Harvard, Law",HAL.0000,HAL.0000,HAL,HAL,"Harvard, Law",HAL.3580,HAL.3580,Trading with and in Europe,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,H,Higher level graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAL.35801998SP,N
HAL38200001998SP,HAL.38201998SP,HAL00000001998SP,HAL.00001998SP,1998SP,HAL,HAL,"Harvard, Law",HAL.0000,HAL.0000,HAL,HAL,"Harvard, Law",HAL.3820,HAL.3820,Human Rights &Intl Law,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,G,Graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAL.38201998SP,N
HAL41100001998SP,HAL.41101998SP,HAL00000001998SP,HAL.00001998SP,1998SP,HAL,HAL,"Harvard, Law",HAL.0000,HAL.0000,HAL,HAL,"Harvard, Law",HAL.4110,HAL.4110,Land-Use Pln & Envirnmnt,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,G,Graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAL.41101998SP,N
HAL46230001998SP,HAL.46231998SP,HAL00000001998SP,HAL.00001998SP,1998SP,HAL,HAL,"Harvard, Law",HAL.0000,HAL.0000,HAL,HAL,"Harvard, Law",HAL.4623,HAL.4623,Elementary Yiddish,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,G,Graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAL.46231998SP,N
HAL90400001998SP,HAL.90401998SP,HAL00000001998SP,HAL.00001998SP,1998SP,HAL,HAL,"Harvard, Law",HAL.0000,HAL.0000,HAL,HAL,"Harvard, Law",HAL.9040,HAL.9040,Seminar: Beyond Biology,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,H,Higher level graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAL.90401998SP,N
HAL96200001998SP,HAL.96201998SP,HAL00000001998SP,HAL.00001998SP,1998SP,HAL,HAL,"Harvard, Law",HAL.0000,HAL.0000,HAL,HAL,"Harvard, Law",HAL.9620,HAL.9620,Law and Economics,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,H,Higher level graduate program,,,1,1,,N,,N,,5/8/01 0:00,1,HAL.96201998SP,N
HAMC7050001998SP,HAM.C7051998SP,HAM00000001998SP,HAM.00001998SP,1998SP,HAM,HAM,"Harvard, Medical School",HAM.0000,HAM.0000,HAM,HAM,"Harvard, Medical School",HAM.C705,HAM.C705,Animal Cell Growth Factr,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,N,Not for graduate credit,,,0,,,N,,N,,5/8/01 0:00,0,HAM.C7051998SP,N
HAMH7170001998SP,HAM.H7171998SP,HAM00000001998SP,HAM.00001998SP,1998SP,HAM,HAM,"Harvard, Medical School",HAM.0000,HAM.0000,HAM,HAM,"Harvard, Medical School",HAM.H717,HAM.H717,GN717: Neurogenetics,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,G,Graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAM.H7171998SP,N
HAMO7000001998SP,HAM.O7001998SP,HAM00000001998SP,HAM.00001998SP,1998SP,HAM,HAM,"Harvard, Medical School",HAM.0000,HAM.0000,HAM,HAM,"Harvard, Medical School",HAM.O700,HAM.O700,Business &Mgmt in Health Care,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,H,Higher level graduate program,,,2,2,,N,,N,,5/8/01 0:00,2,HAM.O7001998SP,N
HAMR7020001998SP,HAM.R7021998SP,HAM00000001998SP,HAM.00001998SP,1998SP,HAM,HAM,"Harvard, Medical School",HAM.0000,HAM.0000,HAM,HAM,"Harvard, Medical School",HAM.R702,HAM.R702,Cell & Tissue Radiation,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,G,Graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAM.R7021998SP,N
HAPD2010001998SP,HAP.D2011998SP,HAP00000001998SP,HAP.00001998SP,1998SP,HAP,HAP,"Harvard, Public Health",HAP.0000,HAP.0000,HAP,HAP,"Harvard, Public Health",HAP.D201,HAP.D201,HSB201a:Society and Health,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,H,Higher level graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAP.D2011998SP,N
HAPH2080001998SP,HAP.H2081998SP,HAP00000001998SP,HAP.00001998SP,1998SP,HAP,HAP,"Harvard, Public Health",HAP.0000,HAP.0000,HAP,HAP,"Harvard, Public Health",HAP.H208,HAP.H208,Health Care Regulation&Planng,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,H,Higher level graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAP.H2081998SP,N
HAPH2220001998SP,HAP.H2221998SP,HAP00000001998SP,HAP.00001998SP,1998SP,HAP,HAP,"Harvard, Public Health",HAP.0000,HAP.0000,HAP,HAP,"Harvard, Public Health",HAP.H222,HAP.H222,Fin Mgmnt of Health Care Org,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,H,Higher level graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAP.H2221998SP,N
HAPH2320001998SP,HAP.H2321998SP,HAP00000001998SP,HAP.00001998SP,1998SP,HAP,HAP,"Harvard, Public Health",HAP.0000,HAP.0000,HAP,HAP,"Harvard, Public Health",HAP.H232,HAP.H232,Oper Mgt Service Delivry,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,G,Graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAP.H2321998SP,N
022THU0001998SP,22.THU1998SP,022THU0001998SP,22.THU1998SP,1998SP,22,22,Nuclear Engineering,22.THU, 22.THU,22,22,Nuclear Engineering,22.THU, 22.THU,Thesis,0,Y,N,N,N,N,22,Nuclear Engineering,Engineering,"Meyer, John",900021342,,,,,,N,Not for graduate credit,,,4,4,,N,,N,86CD64959C870327E0440003BACE90BC,5/8/01 0:00,4,22.THU1998SP,Y
00935R021998SP,9.351998SP,00935R021998SP,9.351998SP,1998SP,9,9,Brain & Cognitive Sciences,9.35,9.35,9,9,Brain & Cognitive Sciences,9.35,9.35,Sensation and Perception,R02,N,N,N,Y,N,9,Brain and Cognitive Sciences,Science,,,R4,E10-013,,,,N,Not for graduate credit,,,,,,N,,N,86CD649597FD0327E0440003BACE90BC,5/8/01 0:00,0,9.351998SP,N
0093710001998SP,9.3711998SP,0093710001998SP,9.3711998SP,1998SP,9,9,Brain & Cognitive Sciences,9.371,9.371,9,9,Brain & Cognitive Sciences,9.371,9.371,Adv Sem: Inference/Learning,0,Y,N,N,N,N,9,Brain and Cognitive Sciences,Science,"Jordan, M",MJORD9,,,,,,H,Higher level graduate program,,,12,12,,N,,N,86CD64959A1F0327E0440003BACE90BC,5/8/01 0:00,12,9.3711998SP,N
009373L011998SP,9.3731998SP,009373L011998SP,9.3731998SP,1998SP,9,9,Brain & Cognitive Sciences,9.373,9.373,9,9,Brain & Cognitive Sciences,9.373,9.373,Somatosensory & Motor Systems,L01,N,Y,N,N,N,9,Brain and Cognitive Sciences,Science,,,W2-5,E25-119,,,,H,Higher level graduate program,,,,,,N,,N,86CD64959A200327E0440003BACE90BC,5/8/01 0:00,0,9.3731998SP,N
009500001998SP,9.501998SP,009500001998SP,9.501998SP,1998SP,9,9,Brain & Cognitive Sciences,9.5,9.5,9,9,Brain & Cognitive Sciences,9.5,9.5,Research in Brain & Cogn Sci,0,Y,N,N,N,N,9,Brain and Cognitive Sciences,Science,"Schiller, P",900000761,,,,,,N,Not for graduate credit,,,5,5,,N,,N,86CD649597FE0327E0440003BACE90BC,5/8/01 0:00,5,9.501998SP,Y
0095910001998SP,9.5911998SP,0095910001998SP,9.5911998SP,1998SP,9,9,Brain & Cognitive Sciences,9.591,9.591,9,9,Brain & Cognitive Sciences,9.591,9.591,Language Processing,0,Y,N,N,N,N,9,Brain and Cognitive Sciences,Science,"Gibson, E",900020963,,,,,"9.591, 24.945",H,Higher level graduate program,,,3,3,5,N,,N,86CD64959A230327E0440003BACE90BC,5/8/01 0:00,3,9.5911998SP,N
HAA41530001998SP,HAA.41531998SP,HAA00000001998SP,HAA.00001998SP,1998SP,HAA,HAA,"Harvard, Arts and Sciences",HAA.0000,HAA.0000,HAA,HAA,"Harvard, Arts and Sciences",HAA.4153,HAA.4153,VES 20ar:Fundamentals Painting,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,N,Not for graduate credit,,,0,,,N,,N,,5/8/01 0:00,0,HAA.41531998SP,N
HAA09070001998SP,HAA.09071998SP,HAA00000001998SP,HAA.00001998SP,1998SP,HAA,HAA,"Harvard, Arts and Sciences",HAA.0000,HAA.0000,HAA,HAA,"Harvard, Arts and Sciences",HAA.0907,HAA.0907,Gov 1208: Islamic Resurge,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,G,Graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAA.09071998SP,N
HAA23540001998SP,HAA.23541998SP,HAA00000001998SP,HAA.00001998SP,1998SP,HAA,HAA,"Harvard, Arts and Sciences",HAA.0000,HAA.0000,HAA,HAA,"Harvard, Arts and Sciences",HAA.2354,HAA.2354,AAS 123z:American Democracy,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,H,Higher level graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAA.23541998SP,N
HAA23800001998SP,HAA.23801998SP,HAA00000001998SP,HAA.00001998SP,1998SP,HAA,HAA,"Harvard, Arts and Sciences",HAA.0000,HAA.0000,HAA,HAA,"Harvard, Arts and Sciences",HAA.2380,HAA.2380,Comp Lit 162: Yiddish Canon,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,G,Graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAA.23801998SP,N
HAA23910001998SP,HAA.23911998SP,HAA00000001998SP,HAA.00001998SP,1998SP,HAA,HAA,"Harvard, Arts and Sciences",HAA.0000,HAA.0000,HAA,HAA,"Harvard, Arts and Sciences",HAA.2391,HAA.2391,Modernism in Sci & Tech,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,G,Graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAA.23911998SP,N
HAA23930001998SP,HAA.23931998SP,HAA00000001998SP,HAA.00001998SP,1998SP,HAA,HAA,"Harvard, Arts and Sciences",HAA.0000,HAA.0000,HAA,HAA,"Harvard, Arts and Sciences",HAA.2393,HAA.2393,Afro-Am 12:African-Amer Histry,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,N,Not for graduate credit,,,0,,,N,,N,,5/8/01 0:00,0,HAA.23931998SP,N
HAA24020001998SP,HAA.24021998SP,HAA00000001998SP,HAA.00001998SP,1998SP,HAA,HAA,"Harvard, Arts and Sciences",HAA.0000,HAA.0000,HAA,HAA,"Harvard, Arts and Sciences",HAA.2402,HAA.2402,CS 315: Software Engineering,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,G,Graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAA.24021998SP,N
HAA24320001998SP,HAA.24321998SP,HAA00000001998SP,HAA.00001998SP,1998SP,HAA,HAA,"Harvard, Arts and Sciences",HAA.0000,HAA.0000,HAA,HAA,"Harvard, Arts and Sciences",HAA.2432,HAA.2432,Phil 8:History of Modern Phil,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,N,Not for graduate credit,,,0,,,N,,N,,5/8/01 0:00,0,HAA.24321998SP,N
HAA24450001998SP,HAA.24451998SP,HAA00000001998SP,HAA.00001998SP,1998SP,HAA,HAA,"Harvard, Arts and Sciences",HAA.0000,HAA.0000,HAA,HAA,"Harvard, Arts and Sciences",HAA.2445,HAA.2445,History of Mental Health Polcy,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,H,Higher level graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAA.24451998SP,N
HAA24540001998SP,HAA.24541998SP,HAA00000001998SP,HAA.00001998SP,1998SP,HAA,HAA,"Harvard, Arts and Sciences",HAA.0000,HAA.0000,HAA,HAA,"Harvard, Arts and Sciences",HAA.2454,HAA.2454,Topics in Algebraic Geometry,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,H,Higher level graduate program,,,1,1,,N,,N,,5/8/01 0:00,1,HAA.24541998SP,N
HAA24610001998SP,HAA.24611998SP,HAA00000001998SP,HAA.00001998SP,1998SP,HAA,HAA,"Harvard, Arts and Sciences",HAA.0000,HAA.0000,HAA,HAA,"Harvard, Arts and Sciences",HAA.2461,HAA.2461,For Cult 14:Society in India,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,N,Not for graduate credit,,,0,,,N,,N,,5/8/01 0:00,0,HAA.24611998SP,N
HAA24790001998SP,HAA.24791998SP,HAA00000001998SP,HAA.00001998SP,1998SP,HAA,HAA,"Harvard, Arts and Sciences",HAA.0000,HAA.0000,HAA,HAA,"Harvard, Arts and Sciences",HAA.2479,HAA.2479,Ling 235: German Syntax,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,G,Graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAA.24791998SP,N
HAA24870001998SP,HAA.24871998SP,HAA00000001998SP,HAA.00001998SP,1998SP,HAA,HAA,"Harvard, Arts and Sciences",HAA.0000,HAA.0000,HAA,HAA,"Harvard, Arts and Sciences",HAA.2487,HAA.2487,Probability Theory &Stat,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,H,Higher level graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAA.24871998SP,N
HAA24890001998SP,HAA.24891998SP,HAA00000001998SP,HAA.00001998SP,1998SP,HAA,HAA,"Harvard, Arts and Sciences",HAA.0000,HAA.0000,HAA,HAA,"Harvard, Arts and Sciences",HAA.2489,HAA.2489,Govt 1300:Congress Power&Pref,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,H,Higher level graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAA.24891998SP,N
HAA25060001998SP,HAA.25061998SP,HAA00000001998SP,HAA.00001998SP,1998SP,HAA,HAA,"Harvard, Arts and Sciences",HAA.0000,HAA.0000,HAA,HAA,"Harvard, Arts and Sciences",HAA.2506,HAA.2506,Biochem 182: Embryology,0,Y,N,N,N,N,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,,,S,SWE: School-Wide Electives,,G,Graduate program,,,0,,,N,,N,,5/8/01 0:00,0,HAA.25061998SP,N
