Hierarchy Type,Link Type Code,Link Type,Dlc Key,Dlc Code,Linked Object Key,Linked Object Code
Compact DLC Hierarchy,FC,Standard Funds Center,D_CAS,D_CAS,FC101447,FC101447
Standard Hierarchy,FC,Standard Funds Center,D_CAS,D_CAS,FC400019,FC400019
Standard Hierarchy,FC,Standard Funds Center,D_CAS,D_CAS,FC_FINANCE,FC_FINANCE
Standard Hierarchy,ORG2,New Org. Unit,D_CAS,D_CAS,O10002383,10002383
Compact DLC Hierarchy,ORG2,New Org. Unit,D_CAS,D_CAS,O10003058,10003058
Compact DLC Hierarchy,ORG2,New Org. Unit,D_CAS,D_CAS,O10003486,10003486
Standard Hierarchy,ORG2,New Org. Unit,D_CAS,D_CAS,O10003486,10003486
Standard Hierarchy,ORGU,Old Org. Unit,D_CAS,D_CAS,423600,423600
Compact DLC Hierarchy,ORGU,Old Org. Unit,D_CAS,D_CAS,428000,428000
Compact DLC Hierarchy,SIS,Student Systems Unit,D_DHSS,D_DHSS,HASS,HASS
Standard Hierarchy,FC,Standard Funds Center,D_LFEE,D_LFEE,FC_LFEE243,FC_LFEE243
Standard Hierarchy,FC,Standard Funds Center,D_EAPS,D_EAPS,FC206322,FC206322
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEANARCH,D_DEANARCH,FC206323,FC206323
Standard Hierarchy,FC,Standard Funds Center,D_CEE,D_CEE,FC206324,FC206324
Standard Hierarchy,FC,Standard Funds Center,D_CIS,D_CIS,FC206326,FC206326
