Hierarchy Type,Link Type Code,Link Type,Dlc Key,Dlc Code,Linked Object Key,Linked Object Code
Compact DLC Hierarchy,FC,Standard Funds Center,D_BIOLOGY,D_BIOLOGY,FC_BIOLOGY026,FC_BIOLOGY026
Standard Hierarchy,FC,Standard Funds Center,D_BIOLOGY,D_BIOLOGY,FC_BIOLOGY031,FC_BIOLOGY031
Standard Hierarchy,FC,Standard Funds Center,D_BIOLOGY,D_BIOLOGY,FC_BIOLOGY037,FC_BIOLOGY037
Standard Hierarchy,FC,Standard Funds Center,D_BIOLOGY,D_BIOLOGY,FC_BIOLOGY039,FC_BIOLOGY039
Standard Hierarchy,FC,Standard Funds Center,D_BIOLOGY,D_BIOLOGY,FC_BIOLOGY054,FC_BIOLOGY054
Standard Hierarchy,FC,Standard Funds Center,D_BIOLOGY,D_BIOLOGY,FC_BIOLOGY058,FC_BIOLOGY058
Compact DLC Hierarchy,FC,Standard Funds Center,D_BIOLOGY,D_BIOLOGY,FC_BIOLOGY063,FC_BIOLOGY063
Standard Hierarchy,FC,Standard Funds Center,D_BIOLOGY,D_BIOLOGY,FC_BIOLOGY063,FC_BIOLOGY063
Standard Hierarchy,FC,Standard Funds Center,D_BIOLOGY,D_BIOLOGY,FC_BIOLOGY067,FC_BIOLOGY067
Compact DLC Hierarchy,FC,Standard Funds Center,D_BIOLOGY,D_BIOLOGY,FC_BIOLOGY069,FC_BIOLOGY069
Compact DLC Hierarchy,FC,Standard Funds Center,D_MAS,D_MAS,FC400107,FC400107
Standard Hierarchy,FC,Standard Funds Center,D_MAS,D_MAS,FC400107,FC400107
Standard Hierarchy,PMIT,PCMIT-0 Profit Center,D_MAS,D_MAS,PCMIT-0003-001,PCMIT-0003
Standard Hierarchy,BAG,NIMBUS B.A.G.,D_CAES,D_CAES,141,141
Compact DLC Hierarchy,FC,Standard Funds Center,D_CAES,D_CAES,FC100132,FC100132
Standard Hierarchy,FC,Standard Funds Center,D_CAES,D_CAES,FC201332,FC201332
Standard Hierarchy,FC,Standard Funds Center,D_CAES,D_CAES,FC202493,FC202493
Compact DLC Hierarchy,FC,Standard Funds Center,D_CAES,D_CAES,FC202498,FC202498
Standard Hierarchy,FC,Standard Funds Center,D_CAES,D_CAES,FC204158,FC204158
Standard Hierarchy,ORG2,New Org. Unit,D_DL,D_DL,O10005036,10005036
Compact DLC Hierarchy,FC,Standard Funds Center,D_MECHE,D_MECHE,FC202337,FC202337
Standard Hierarchy,FC,Standard Funds Center,D_PEP,D_PEP,FC_PEP105,FC_PEP105
Compact DLC Hierarchy,FC,Standard Funds Center,D_PEP,D_PEP,FC_PEP107,FC_PEP107
Compact DLC Hierarchy,FC,Standard Funds Center,D_CAA,D_CAA,FC_CAA,FC_CAA
Standard Hierarchy,FC,Standard Funds Center,D_MATHS,D_MATHS,FC208844,FC208844
Compact DLC Hierarchy,FC,Standard Funds Center,D_DL,D_DL,FC401321,FC401321
Standard Hierarchy,FC,Standard Funds Center,D_MITEI,D_MITEI,FC_MITEI35,FC_MITEI35
Standard Hierarchy,FC,Standard Funds Center,D_MITEI,D_MITEI,FC_MITEI38,FC_MITEI38
Compact DLC Hierarchy,FC,Standard Funds Center,D_CAA,D_CAA,FC103444,FC103444
Compact DLC Hierarchy,FC,Standard Funds Center,D_LFEE,D_LFEE,FC208802,FC208802
Compact DLC Hierarchy,FC,Standard Funds Center,D_LFEE,D_LFEE,FC208804,FC208804
Compact DLC Hierarchy,FC,Standard Funds Center,D_LFEE,D_LFEE,FC_LFEE273,FC_LFEE273
Standard Hierarchy,FC,Standard Funds Center,D_LFEE,D_LFEE,FC_LFEE275,FC_LFEE275
Standard Hierarchy,FC,Standard Funds Center,D_EECS,D_EECS,FC_EECS246,FC_EECS246
Compact DLC Hierarchy,FC,Standard Funds Center,D_EECS,D_EECS,FC_EECS247,FC_EECS247
Compact DLC Hierarchy,FC,Standard Funds Center,D_LFEE,D_LFEE,FC_LFEE277,FC_LFEE277
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC204009,FC204009
Compact DLC Hierarchy,FC,Standard Funds Center,D_DUSP,D_DUSP,FC402060,FC402060
Standard Hierarchy,FC,Standard Funds Center,D_DUSP,D_DUSP,FC402060,FC402060
Compact DLC Hierarchy,SIS,Student Systems Unit,D_CROSS_REG,D_CROSS_REG,WHI,WHI
Compact DLC Hierarchy,FC,Standard Funds Center,D_ECO,D_ECO,FC209334,FC209334
Standard Hierarchy,FC,Standard Funds Center,D_DMSE,D_DMSE,FC208894,FC208894
Standard Hierarchy,FC,Standard Funds Center,D_DMSE,D_DMSE,FC208895,FC208895
Compact DLC Hierarchy,FC,Standard Funds Center,D_DMSE,D_DMSE,FC208895,FC208895
Compact DLC Hierarchy,FC,Standard Funds Center,D_DL,D_DL,FC401343,FC401343
Standard Hierarchy,FC,Standard Funds Center,D_DL,D_DL,FC401280,FC401280
Compact DLC Hierarchy,FC,Standard Funds Center,D_MECHE,D_MECHE,FC_MECHENG180,FC_MECHENG180
Compact DLC Hierarchy,FC,Standard Funds Center,D_SLOAN,D_SLOAN,FC209513,FC209513
Standard Hierarchy,FC,Standard Funds Center,D_SLOAN,D_SLOAN,FC209513,FC209513
Standard Hierarchy,FC,Standard Funds Center,D_SLOAN,D_SLOAN,FC209515,FC209515
Standard Hierarchy,FC,Standard Funds Center,D_SLOAN,D_SLOAN,FC209517,FC209517
Compact DLC Hierarchy,PMIT,PCMIT-0 Profit Center,D_IS&T,D_IS&T,P404407-001,P404407
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC204000,FC204000
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC205226,FC205226
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC205374,FC205374
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC205384,FC205384
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC205394,FC205394
Compact DLC Hierarchy,ORGU,Old Org. Unit,D_MECHE,D_MECHE,069700,069700
Standard Hierarchy,FC,Standard Funds Center,D_LFEE,D_LFEE,FC_LFEE283,FC_LFEE283
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC200260,FC200260
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC200393,FC200393
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC200472,FC200472
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC200703,FC200703
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC200774,FC200774
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC201089,FC201089
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC201132,FC201132
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC201418,FC201418
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC201418,FC201418
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC206837,FC206837
Standard Hierarchy,PMIT,PCMIT-0 Profit Center,D_DEFUNCT,D_DEFUNCT,P406140-001,P406140
Compact DLC Hierarchy,FC,Standard Funds Center,D_DL,D_DL,FC401323,FC401323
Compact DLC Hierarchy,FC,Standard Funds Center,D_MITEI,D_MITEI,FC_MITEI01,FC_MITEI01
Standard Hierarchy,FC,Standard Funds Center,D_MITEI,D_MITEI,FC_MITEI16,FC_MITEI16
Standard Hierarchy,FC,Standard Funds Center,D_MITEI,D_MITEI,FC_MITEI18,FC_MITEI18
Compact DLC Hierarchy,FC,Standard Funds Center,D_MITEI,D_MITEI,FC_MITEI22,FC_MITEI22
Standard Hierarchy,FC,Standard Funds Center,D_MITEI,D_MITEI,FC_MITEI22,FC_MITEI22
Standard Hierarchy,FORG,Facilities Org.,D_DINING,D_DINING,A147,A147
Compact DLC Hierarchy,FC,Standard Funds Center,D_SCM,D_SCM,FC102452,FC102452
Standard Hierarchy,FC,Standard Funds Center,D_SCM,D_SCM,FC103630,FC103630
Standard Hierarchy,FC,Standard Funds Center,D_SCM,D_SCM,FC_SCM,FC_SCM
Compact DLC Hierarchy,FC,Standard Funds Center,D_MITEI,D_MITEI,FC_MITEI26,FC_MITEI26
Standard Hierarchy,FC,Standard Funds Center,D_PEP,D_PEP,FC402055,FC402055
Standard Hierarchy,FC,Standard Funds Center,D_PEP,D_PEP,FC402057,FC402057
Standard Hierarchy,FC,Standard Funds Center,D_MTA,D_MTA,FC206448,FC206448
Standard Hierarchy,FC,Standard Funds Center,D_MTA,D_MTA,FC206449,FC206449
Standard Hierarchy,FC,Standard Funds Center,D_CTL,D_CTL,FC206437,FC206437
Compact DLC Hierarchy,FC,Standard Funds Center,D_CTL,D_CTL,FC206439,FC206439
Compact DLC Hierarchy,FC,Standard Funds Center,D_PEP,D_PEP,FC_PEP112,FC_PEP112
Standard Hierarchy,FC,Standard Funds Center,D_PEP,D_PEP,FC_PEP112,FC_PEP112
Compact DLC Hierarchy,FC,Standard Funds Center,D_LFEE,D_LFEE,FC_LFEE289,FC_LFEE289
