Fclt Building Hist Key,Fiscal Period,Fclt Building Key,Building Number,Parent Building Number,Parent Building Name,Parent Building Name Long,Building Name Long,Ext Gross Area,Assignable Area,Non Assignable Area,Site,Campus Sector,Access Level Code,Access Level Name,Building Type,Ownership Type,Building Use,Occupancy Class,Building Height,Cost Center Code,Cost Collector Key,Latitude Wgs,Longitude Wgs,Easting X Spcs,Northing Y Spcs,Building Sort,Building Named For,Building Name,Date Built,Date Acquired,Date Occupied,Warehouse Load Date,Num Of Rooms
W70G-201604,201604,W70G,W70G,W70,NEW HOUSE,New West Campus Houses,New West Campus Houses (Wing G),"3,886.9","1,648.29","1,972.51",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W70G,-,NEW HOUSE (G),"","","",10/31/15 05:15 AM,15
W85A-201604,201604,W85A,W85A,W85ABC,WESTGATE (ABC),Westgate ABC,Westgate A Married Student Housing,"4,686.42","3,725.83",453.68,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85A,-,WESTGATE (A),"","","",10/31/15 05:15 AM,11
W85B-201604,201604,W85B,W85B,W85ABC,WESTGATE (ABC),Westgate ABC,Westgate B Married Student Housing,"4,635.79","3,705.6",453.68,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85B,-,WESTGATE (B),"","","",10/31/15 05:15 AM,10
W85C-201604,201604,W85C,W85C,W85ABC,WESTGATE (ABC),Westgate ABC,Westgate C Married Student Housing,"4,661.33","3,701.95",454.98,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85C,-,WESTGATE (C),"","","",10/31/15 05:15 AM,10
W85D-201604,201604,W85D,W85D,W85DE,WESTGATE (DE),Westgate DE,Westgate D Married Student Housing,"4,667.7","3,713.09",454.55,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85D,-,WESTGATE (D),"","","",10/31/15 05:15 AM,10
W85E-201604,201604,W85E,W85E,W85DE,WESTGATE (DE),Westgate DE,Westgate E Married Student Housing,"4,653.21","3,704.69",449.76,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85E,-,WESTGATE (E),"","","",10/31/15 05:15 AM,10
W85F-201604,201604,W85F,W85F,W85FG,WESTGATE (FG),Westgate FG,Westgate F Married Student Housing,"4,667.7","3,713.09",454.55,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85F,-,WESTGATE (F),"","","",10/31/15 05:15 AM,10
W85G-201604,201604,W85G,W85G,W85FG,WESTGATE (FG),Westgate FG,Westgate G Married Student Housing,"4,653.21","3,704.69",449.76,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85G,-,WESTGATE (G),"","","",10/31/15 05:15 AM,10
W85H-201604,201604,W85H,W85H,W85HJK,WESTGATE (HJK),Westgate HJK,Westgate H Married Student Housing,"4,677.62","3,727.52",445.9,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85H,-,WESTGATE (H),"","","",10/31/15 05:15 AM,10
W85J-201604,201604,W85J,W85J,W85HJK,WESTGATE (HJK),Westgate HJK,Westgate J Married Student Housing,"4,630.7","3,701.56",451.91,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85J,-,WESTGATE (J),"","","",10/31/15 05:15 AM,10
W85K-201604,201604,W85K,W85K,W85HJK,WESTGATE (HJK),Westgate HJK,Westgate K Married Student Housing,"4,687.15","3,721.22",460.59,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85K,-,WESTGATE (K),"","","",10/31/15 05:15 AM,10
WW15-201604,201604,WW15,WW15,"","","",Building WW15,"42,145.75","37,495.92","2,824.04",MIT,WESTWEST,2.00,2,SERVICE,OWNED,AER,UGS2,16.00,1846500,1846500,42.35536,-71.10947,"761,724.03371","2,954,764.37927",WW15,-,BUILDING WW15,12/31/69 12:00 AM,"","",10/31/15 05:15 AM,108
