Fclt Building Hist Key,Fiscal Period,Fclt Building Key,Building Number,Parent Building Number,Parent Building Name,Parent Building Name Long,Building Name Long,Ext Gross Area,Assignable Area,Non Assignable Area,Site,Campus Sector,Access Level Code,Access Level Name,Building Type,Ownership Type,Building Use,Occupancy Class,Building Height,Cost Center Code,Cost Collector Key,Latitude Wgs,Longitude Wgs,Easting X Spcs,Northing Y Spcs,Building Sort,Building Named For,Building Name,Date Built,Date Acquired,Date Occupied,Warehouse Load Date,Num Of Rooms
14S-201505,201505,14S,14S,14,HAYDEN MEMORIAL LIBRARY,Charles Hayden Memorial Library,Charles Hayden Memorial Library (South Wing),"48,622.24","34,500.48","10,286.49",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,(NULL),"","","","","","","",14S,"",HAYDEN MEMORIAL LIBRARY (S),"","","",12/01/14 05:12 AM,118
46-201505,201505,46,46,"","","",Brain & Cognitive Sciences Complex,"418,662.59","218,518.89","152,699.33",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,(NULL),136.40,1814600,1814600,42.36233,-71.09164,"766,530.28538","2,957,325.64557",46,"",BCSC,04/25/03 12:00 AM,"",09/01/05 12:00 AM,12/01/14 05:12 AM,"1,403"
E14-201505,201505,E14,E14,"","","",Building E14,"173,875.21","73,792.6","83,752.67",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,(NULL),"",1821400,1821400,42.36046,-71.08733,"767,698.51797","2,956,651.90718",E14,"",BUILDING E14,"","","",12/01/14 05:12 AM,341
E17-201505,201505,E17,E17,"","","",Seely G Mudd Building,"83,518.04","54,135.52","21,499.9",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGBA3,82.80,1821700,1821700,42.36148,-71.08789,"767,547.05603","2,957,023.1827",E17,SEELY G. MUDD,MUDD BUILDING,12/31/32 12:00 AM,"",03/06/75 12:00 AM,12/01/14 05:12 AM,342
E18-201505,201505,E18,E18,"","","",Horace Sayford Ford Building (E18),"113,139.11","68,988.6","34,733.83",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGBI2,88.30,1821800,1821800,42.36177,-71.08779,"767,571.81186","2,957,126.29198",E18,HORACE SAYFORD FORD JR.,FORD BUILDING (E18),12/31/20 12:00 AM,05/01/61 12:00 AM,10/01/64 12:00 AM,12/01/14 05:12 AM,380
NW12-201505,201505,NW12,NW12,"","","",Nuclear Reactor Laboratory,"49,933.39","34,857.85","9,710.88",MIT,NORTHWEST,0.00,0,ACADEMIC,OWNED,AER,UGB,47.30,1841200,1841200,42.3601,-71.09686,"765,123.30905","2,956,508.19996",NW12,"",NUCLEAR REACTOR LAB,12/31/37 12:00 AM,12/31/55 12:00 AM,12/31/55 12:00 AM,12/01/14 05:12 AM,166
N16B-201505,201505,N16B,N16B,"","","",Fire Pump House,"1,249.72",0,"1,160.58",MIT,NORTH,0.00,0,SERVICE,OWNED,OTH,UGU,"","","",42.36124,-71.09423,"765,833.84857","2,956,926.21352",N16B,"",FIRE PUMP ROOM,"","","",12/01/14 05:12 AM,5
NE46-201505,201505,NE46,NE46,"","","",400 Technology Square,"9,215.4","7,989.19",239.41,MIT,"",2.00,2,ACADEMIC,LEASED,AER,(NULL),0.00,"","","","","","",NE46,"",400 TECHNOLOGY SQUARE,04/25/14 12:00 AM,"","",12/01/14 05:12 AM,36
W13-201505,201505,W13,W13,"","","",Bexley Hall,"52,878.95","39,026.29","6,156.84",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,45.80,1345600,1345600,42.35853,-71.0937,"765,981.6923","2,955,940.43088",W13,"",BEXLEY HALL,12/31/12 12:00 AM,12/31/39 12:00 AM,09/01/39 12:00 AM,12/01/14 05:12 AM,150
OC19M-201505,201505,OC19M,OC19M,"","","",BATES LINAC: Barn,"2,225.34","2,062.22",0,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,"","","","",OC19M,"",BATES LINAC: BARN,"","","",12/01/14 05:12 AM,3
OC26-201505,201505,OC26,OC26,"","","",Haystack Atmospheric Sciences Building,"1,396.85","1,220.02",30.67,HAY,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,UGB,"","","",42.61878,-71.49063,"658,688.02823","3,050,520.56256",OC26,"",HAYSTACK ATMOSPHERIC SCIENCES BUILDING,"","","",12/01/14 05:12 AM,10
OC31A-201505,201505,OC31A,OC31A,"","","",Katahdin Hill 1A,"2,989.21","2,567.45",151.48,LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC31A,"",KATAHDIN HILL 1A,"","","",12/01/14 05:12 AM,7
OC36-201505,201505,OC36,OC36,"","","",Annex 6,"6,910.33","4,364.63","1,851.64",LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC36,"",ANNEX 6,"","","",12/01/14 05:12 AM,28
W16-201505,201505,W16,W16,"","","",Kresge Auditorium,"42,145.98","20,454.71","17,716.79",MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGA1A3,50.20,1831600,1831600,42.35813,-71.09506,"765,614.61178","2,955,792.88808",W16,SEBASTIAN S. KRESGE,KRESGE AUDITORIUM,05/01/53 12:00 AM,"",12/31/56 12:00 AM,12/01/14 05:12 AM,93
W20-201505,201505,W20,W20,"","","",Julius Adams Stratton Student Center,"183,162","116,165.53","55,856.44",MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGA3M,75.00,1832000,1832000,42.35904,-71.09477,"765,689.59945","2,956,124.35288",W20,JULIUS ADAMS STRATTON,STRATTON STUDENT CENTER,09/01/63 12:00 AM,"",10/01/65 12:00 AM,12/01/14 05:12 AM,428
W61G-201505,201505,W61G,W61G,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing G),"12,942.63","9,430.07","1,289.78",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61G,"",MACGREGOR HOUSE (G),"","","",12/01/14 05:12 AM,99
W70-201505,201505,W70,W70,"","","",New West Campus Houses,"114,930.31","68,693.54","32,792.85",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,46.90,1347500,1347500,42.35516,-71.10053,"764,140.06982","2,954,702.58429",W70,"",NEW HOUSE,06/01/74 12:00 AM,"",12/31/76 12:00 AM,12/01/14 05:12 AM,13
W70G-201505,201505,W70G,W70G,W70,NEW HOUSE,New West Campus Houses,New West Campus Houses (Wing G),"3,886.9","1,648.29","1,972.51",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W70G,"",NEW HOUSE (G),"","","",12/01/14 05:12 AM,15
5-201505,201505,5,5,"","","",Pratt School Of Naval Architecture And Marine Engineering,"80,942.35","55,225.95","16,728.77",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,70.70,1810500,1810500,42.35871,-71.09292,"766,190.50562","2,956,005.14991",05,CHARLES HERBERT PRATT,PRATT SCHOOL,12/01/19 12:00 AM,"",12/31/20 12:00 AM,12/01/14 05:12 AM,275
50-201505,201505,50,50,"","","",Walker Memorial,"73,703.27","46,452.51","20,719.31",MIT,MAIN GROUP,2.00,2,SERVICE,OWNED,STAC,UGA3,80.50,1342002,1342002,42.35936,-71.08832,"767,433.66957","2,956,249.32499",50,FRANCIS AMASA WALKER,WALKER MEMORIAL,01/01/16 12:00 AM,"",09/01/17 12:00 AM,12/01/14 05:12 AM,200
12-201505,201505,12,12,"","","",Building 12,"55,403.21","36,173.72","14,274.26",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,42.20,1811200,1811200,42.36021,-71.09156,"766,556.43216","2,956,552.31928",12,"",BUILDING 12,09/01/41 12:00 AM,"",07/01/42 12:00 AM,12/01/14 05:12 AM,242
32P-201505,201505,32P,32P,"","","",Ray and Maria Stata Center Garage,"239,353.28","219,268.15","10,269.82",MIT,MAIN GROUP,2.00,2,SERVICE,OWNED,GAR,(NULL),"",1813201,1813201,"","","","",32P,RAY STATA '57,STATA CENTER GARAGE,"","",06/02/03 12:00 AM,12/01/14 05:12 AM,32
37-201505,201505,37,37,"","","",Ronald E McNair Building,"102,832.84","56,088.11","32,519.06",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,89.70,1813700,1813700,42.36068,-71.09325,"766,099.50817","2,956,724.63753",37,RONALD E. MCNAIR,MCNAIR BUILDING,02/01/66 12:00 AM,"",12/31/69 12:00 AM,12/01/14 05:12 AM,401
39-201505,201505,39,39,"","","",Stanley Gordon Brown Building,"75,808.22","39,408.97","29,949.69",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,91.10,1813900,1813900,42.36086,-71.09273,"766,238.79192","2,956,788.13445",39,GORDON STANLEY BROWN,BROWN BUILDING,08/01/66 12:00 AM,"",12/31/68 12:00 AM,12/01/14 05:12 AM,253
42T-201505,201505,42T,42T,42,COGENERATION PLANT,William R. Dickson Cogeneration Plant,Building 42 Tunnel,"11,247.27",0,"11,247.27",MIT,"",0.00,0,SERVICE,OWNED,OTH,UGF1,0.00,1814200,1814200,"","","","",42T,"",BUILDING 42 TUNNEL,12/31/15 12:00 AM,"",12/31/16 12:00 AM,12/01/14 05:12 AM,1
E25-201505,201505,E25,E25,"","","",Whitaker College Of Health Sciences & Technology,"156,676.36","90,240.16","47,623.46",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGBA3,92.30,1822500,1822500,42.36167,-71.08695,"767,799.8444","2,957,091.59708",E25,UNCAS A. & HELEN F. WHITAKER,WHITAKER COLLEGE,08/21/79 12:00 AM,"",02/15/82 12:00 AM,12/01/14 05:12 AM,565
E62-201505,201505,E62,E62,"","","",Building E62,"405,033.97","274,524.21","95,303.04",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGBA3,"",1823000,1823000,42.36135,-71.08265,"768,961.13218","2,956,980.16168",E62,"",BUILDING E62,"","","",12/01/14 05:12 AM,649
N10-201505,201505,N10,N10,"","","",High Voltage Research Laboratory,"10,041.46","8,107.66",632.03,MIT,NORTH,1.00,1,ACADEMIC,OWNED,AER,UGB,33.00,1851000,1851000,42.36086,-71.09545,"765,503.66082","2,956,787.05655",N10,"",HIGH VOLTAGE RESEARCH LAB,07/01/64 12:00 AM,"",02/01/65 12:00 AM,12/01/14 05:12 AM,52
E60-201505,201505,E60,E60,"","","",Arthur D Little Building,"30,130.11","12,536.82","13,088.45",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGB,"","","",42.36118,-71.08218,"769,090.96655","2,956,918.78355",E60,ARTHUR D. LITTLE,ARTHUR D LITTLE BUILDING,12/31/17 12:00 AM,07/01/97 12:00 AM,03/01/94 12:00 AM,12/01/14 05:12 AM,133
NE83-201505,201505,NE83,NE83,"","","",Building 300,"20,795.59","17,407.77",873.91,MIT,"",2.00,2,ACADEMIC,LEASED,AER,UGB,0.00,"","","","","","",NE83,"",BUILDING 300,06/25/14 12:00 AM,"",06/25/14 12:00 AM,12/01/14 05:12 AM,77
NW17-201505,201505,NW17,NW17,"","","",Plasma Science And Fusion Center (NW17),"45,397.46","27,622.94","12,314.36",MIT,NORTHWEST,2.00,2,ACADEMIC,OWNED,AER,UGB,33.80,1841700,1841700,42.35986,-71.09914,"764,507.70102","2,956,415.40348",NW17,"",PLASMA SCIENCE & FUSION CENTER (NW17),12/31/23 12:00 AM,"","",12/01/14 05:12 AM,154
NE18-201505,201505,NE18,NE18,"","","",255 Main Street,"33,044.91","28,995.07",260.02,MIT,NORTHEAST,2.00,2,ACADEMIC,LEASED,AER,UGB,194.70,1861800,1861800,42.36265,-71.08517,"768,278.21793","2,957,450.51043",NE18,"",255 MAIN STREET,"","",04/01/01 12:00 AM,12/01/14 05:12 AM,196
NW20-201505,201505,NW20,NW20,"","","",Albany Street Generator Shelter,"5,784.7","5,291.98",0,MIT,NORTHWEST,2.00,2,ACADEMIC,OWNED,AER,UGF1,28.00,1842000,1842000,42.35928,-71.09847,"764,691.4041","2,956,207.36971",NW20,"",ALBANY ST GENERATOR SHELTER,"","","",12/01/14 05:12 AM,10
NW30-201505,201505,NW30,NW30,"","","",224 Albany Street,"85,812.19","50,160.21","23,182.63",MIT,NORTHWEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,75.00,1348100,1348100,42.35865,-71.09997,"764,285.32651","2,955,973.72159",NW30,"",224 ALBANY STREET,12/31/04 12:00 AM,10/01/58 12:00 AM,11/01/58 12:00 AM,12/01/14 05:12 AM,252
NW86-201505,201505,NW86,NW86,"","","",70 Pacific Street Dormitory,"362,686.82","251,368.74","63,800.8",MIT,NORTHWEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,106.40,1348300,1348300,42.35972,-71.10222,"763,676.49545","2,956,361.96176",NW86,"",70 PACIFIC STREET DORMITORY,02/01/01 12:00 AM,"",08/01/02 12:00 AM,12/01/14 05:12 AM,710
OC19F-201505,201505,OC19F,OC19F,"","","",BATES LINAC: South Experimental Hall,"57,867.01","31,838.33","7,529.01",BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59834,-70.9815,"795,775.03719","3,043,495.98697",OC19F,"",BATES LINAC: SOUTH EXPERIMENTAL HALL,"","","",12/01/14 05:12 AM,46
W61D-201505,201505,W61D,W61D,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing D),"12,498.73","7,668.85","2,742.54",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61D,"",MACGREGOR HOUSE (D),"","","",12/01/14 05:12 AM,95
W56-201505,201505,W56,W56,"","","",Building W56,"2,835","2,463.75",92.98,MIT,WEST,2.00,2,SERVICE,OWNED,OTH,(NULL),0.00,"","","","","","",W56,"",BUILDING W56,06/18/12 12:00 AM,"","",12/01/14 05:12 AM,16
W57A-201505,201505,W57A,W57A,"","","",Building W57A,117,91.07,0,MIT,WEST,3.00,3,SERVICE,OWNED,OTH,UGA1,0.00,"","","","","","",W57A,"",BUILDING W57A,03/21/14 12:00 AM,"","",12/01/14 05:12 AM,1
W70E-201505,201505,W70E,W70E,W70,NEW HOUSE,New West Campus Houses,New West Campus Houses (Wing E),"17,792.83","11,278.04","4,385.7",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W70E,"",NEW HOUSE (E),"","","",12/01/14 05:12 AM,106
W92-201505,201505,W92,W92,"","","",Building W92,"86,521.66","72,020.11","7,904.77",MIT,WEST,2.00,2,ACADEMIC,OWNED,AER,UGB,32.10,1839200,1839200,42.35492,-71.10462,"763,036.44851","2,954,609.73854",W92,"",BUILDING W92,"","",07/01/99 12:00 AM,12/01/14 05:12 AM,360
W85H-201505,201505,W85H,W85H,W85HJK,WESTGATE (HJK),Westgate HJK,Westgate H Married Student Housing,"4,677.62","3,727.52",445.9,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85H,"",WESTGATE (H),"","","",12/01/14 05:12 AM,10
W85HJK-201505,201505,W85HJK,W85HJK,"","","",Westgate HJK,"13,995.47","11,150.3","1,358.4",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,31.10,1348000,1348000,42.35545,-71.10315,"763,431.30458","2,954,804.68813",W85HJK,"",WESTGATE (HJK),01/01/62 12:00 AM,"",08/01/63 12:00 AM,12/01/14 05:12 AM,0
2-201505,201505,2,2,"","","",Building 2,"121,649.77","73,934.31","35,902.05",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,82.60,1810200,1810200,42.35881,-71.09018,"766,931.08927","2,956,046.5862",02,"",BUILDING 2,07/01/13 12:00 AM,"",12/31/16 12:00 AM,12/01/14 05:12 AM,354
6C-201505,201505,6C,6C,"","","",PDSI,"51,146.78","16,126.28","27,824.36",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGE,92.00,1810600,1810600,42.35967,-71.09084,"766,752.96513","2,956,359.21569",06C,"",BUILDING 6C,05/01/07 12:00 AM,"",05/01/07 12:00 AM,12/01/14 05:12 AM,117
14W-201505,201505,14W,14W,14,HAYDEN MEMORIAL LIBRARY,Charles Hayden Memorial Library,Charles Hayden Memorial Library (West Wing),"5,013.14","2,850.15","1,777.63",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,(NULL),"","","","","","","",14W,"",HAYDEN MEMORIAL LIBRARY (W),"","","",12/01/14 05:12 AM,16
31-201505,201505,31,31,"","","",Sloan Laboratories For Aircraft & Automotive Engineering,"63,579.46","47,756.82","10,909.03",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,46.20,1813100,1813100,42.36037,-71.09306,"766,150.16447","2,956,611.68034",31,ALFRED P. SLOAN JR.,SLOAN LABORATORIES,12/31/28 12:00 AM,"",12/31/28 12:00 AM,12/01/14 05:12 AM,221
66-201505,201505,66,66,"","","",Ralph Landau Building,"133,862.28","71,022.16","48,293.13",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,74.30,1816600,1816600,42.36092,-71.08903,"767,239.13493","2,956,816.07395",66,RALPH LANDAU,LANDAU BUILDING,08/01/73 12:00 AM,"",12/31/76 12:00 AM,12/01/14 05:12 AM,330
E2-201505,201505,E2,E2,"","","",Senior House,"64,670.53","36,222.25","18,156.46",MIT,EAST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,63.70,1346000,1346000,42.35996,-71.08687,"767,825.21787","2,956,467.41243",E02,"WARE, ATKINSON,RUNKLE,CRAFTS,NICHOLS,HOLMAN",SENIOR HOUSE,07/01/13 12:00 AM,"",07/01/16 12:00 AM,12/01/14 05:12 AM,314
E19-201505,201505,E19,E19,"","","",Horace Sayford Ford Building (E19),"149,430.25","100,591.94","37,489.53",MIT,EAST,2.00,2,SERVICE,OWNED,AER,UGB,81.00,1821900,1821900,42.36213,-71.08795,"767,528.03043","2,957,258.01826",E19,HORACE SAYFORD FORD JR.,FORD BUILDING (E19),12/31/20 12:00 AM,05/01/61 12:00 AM,10/01/64 12:00 AM,12/01/14 05:12 AM,721
E51-201505,201505,E51,E51,"","","",Jack C Tang Center For Management Education,"108,146.05","52,256.93","43,082.81",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGA3,60.00,1825100,1825100,42.36055,-71.08449,"768,465.93793","2,956,688.65507",E51,"",TANG CENTER,12/31/44 12:00 AM,12/31/45 12:00 AM,12/31/80 12:00 AM,12/01/14 05:12 AM,318
E52-201505,201505,E52,E52,"","","",Alfred P Sloan Building,"143,950.12","86,926.63","40,977.5",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGBA3,97.40,1825200,1825200,42.36074,-71.08368,"768,686.08396","2,956,755.95137",E52,ALFRED P. SLOAN JR.,SLOAN BUILDING,12/31/38 12:00 AM,01/01/51 12:00 AM,05/01/52 12:00 AM,12/01/14 05:12 AM,534
E53-201505,201505,E53,E53,"","","",Grover M Hermann Building,"95,445.1","63,414.1","25,153.08",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGA3,72.20,1825300,1825300,42.36119,-71.08359,"768,708.09015","2,956,920.87263",E53,GROVER MARTIN HERMANN,HERMANN BUILDING,01/01/64 12:00 AM,"",10/01/65 12:00 AM,12/01/14 05:12 AM,289
E55-201505,201505,E55,E55,"","","",Eastgate Married Student Housing,"172,358.83","120,283.18","29,645.23",MIT,EAST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,272.80,1348200,1348200,42.36174,-71.08391,"768,621.58021","2,957,120.12302",E55,"",EASTGATE,11/01/65 12:00 AM,"",08/01/67 12:00 AM,12/01/14 05:12 AM,438
N16-201505,201505,N16,N16,"","","",Cooling Tower & Oil Reserve,"31,334.45",0,"25,029.45",MIT,NORTH,0.00,0,SERVICE,OWNED,OTH,UGU,59.00,"","",42.36127,-71.09407,"765,877.28985","2,956,935.81263",N16,"",COOLING TOWER & OIL RESERVE,09/20/71 12:00 AM,"",12/31/72 12:00 AM,12/01/14 05:12 AM,26
N16A-201505,201505,N16A,N16A,"","","",Building N16A,"9,766.11",0,"8,652.37",MIT,NORTH,0.00,0,SERVICE,OWNED,OTH,UGU,57.70,"","",42.36124,-71.09438,"765,792.03738","2,956,926.28972",N16A,"",BUILDING N16A,"","","",12/01/14 05:12 AM,11
NW16-201505,201505,NW16,NW16,"","","",Plasma Science And Fusion Center (NW16),"50,148.39","31,346.41","14,440.37",MIT,NORTHWEST,2.00,2,ACADEMIC,OWNED,AER,UGB,34.00,1841600,1841600,42.36003,-71.09872,"764,622.8361","2,956,479.98399",NW16,"",PLASMA SCIENCE & FUSION CENTER (NW16),06/01/80 12:00 AM,04/01/66 12:00 AM,05/01/81 12:00 AM,12/01/14 05:12 AM,171
N51-201505,201505,N51,N51,"","","",Building N51,"44,980.93","32,641.41","8,419.29",MIT,NORTH,2.00,2,ACADEMIC,OWNED,AER,UGBA3,50.90,1855100,1855100,42.36228,-71.09763,"764,912.91509","2,957,302.16119",N51,"",BUILDING N51,12/31/24 12:00 AM,04/16/82 12:00 AM,01/01/64 12:00 AM,12/01/14 05:12 AM,127
N52-201505,201505,N52,N52,"","","",MIT Museum,"103,874.44","71,387.57","21,271.39",MIT,NORTH,2.00,2,ACADEMIC,OWNED,AER,UGA3B,56.80,1855200,1855200,42.36227,-71.09719,"765,031.70746","2,957,298.46033",N52,"",MIT MUSEUM,12/31/24 12:00 AM,04/16/82 12:00 AM,01/01/64 12:00 AM,12/01/14 05:12 AM,324
NE25-201505,201505,NE25,NE25,"","","",355 Main Street,"15,375.72","14,460.12",37.84,MIT,NORTHEAST,2.00,2,SERVICE,LEASED,AER,UGB,177.20,1862500,1862500,42.36281,-71.08751,"767,647.41688","2,957,505.82516",NE25,"",355 MAIN STREET,"","",07/01/96 12:00 AM,12/01/14 05:12 AM,108
NW21-201505,201505,NW21,NW21,"","","",Plasma Science And Fusion Center (NW21),"120,136.72","65,083.46","44,698.29",MIT,NORTHWEST,2.00,2,ACADEMIC,OWNED,AER,UGB,43.60,1842100,1842100,42.35906,-71.09915,"764,508.0171","2,956,126.49393",NW21,"",PLASMA SCIENCE & FUSION CENTER (NW21),12/31/99 12:00 AM,04/01/80 12:00 AM,05/01/80 12:00 AM,12/01/14 05:12 AM,149
OC100-201505,201505,OC100,OC100,"","","",BUILDING OC100,"2,649.3","1,891.48",16.82,DC,OFFCAMPUS,1.00,1,ACADEMIC,LEASED,OTH,(NULL),"","","","","","","",OC100,"",BUILDING OC100,"","",07/01/91 12:00 AM,12/01/14 05:12 AM,11
OC19B-201505,201505,OC19B,OC19B,"","","",Bates LINAC: Research Bldg,"13,810.89","10,426.98","1,578.19",BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59903,-70.98045,"796,055.78876","3,043,749.15224",OC19B,"",BATES LINAC: RESEARCH BLDG,"","","",12/01/14 05:12 AM,45
OC19E-201505,201505,OC19E,OC19E,"","","",BATES LINAC: Ring Service Building,"3,058.54","2,225.79",218.06,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59907,-70.979,"796,445.14395","3,043,766.62289",OC19E,"",BATES LINAC: RING SERVICE BUILDING,"","","",12/01/14 05:12 AM,7
W1-201505,201505,W1,W1,"","","",Fariborz Maseeh Hall,"189,693.16","107,518.76","43,357.57",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,74.50,1345000,1345000,42.35762,-71.09351,"766,033.6849","2,955,606.76323",W01,AVERY ALLEN ASHDOWN,FARIBORZ MASEEH HALL,12/31/00 12:00 AM,12/31/37 12:00 AM,12/31/39 12:00 AM,12/01/14 05:12 AM,555
OC19G-201505,201505,OC19G,OC19G,"","","",BATES LINAC: North Hall Exhaust,454.61,372.3,13.64,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59805,-70.98273,"795,443.12177","3,043,391.05789",OC19G,"",BATES LINAC: NORTH HALL EXHAUST,"","","",12/01/14 05:12 AM,2
OC19J-201505,201505,OC19J,OC19J,"","","",BATES LINAC: Gas Bottle/Tank Storage,400.94,348.95,0,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,"","","","",OC19J,"",BATES LINAC: GAS BOTTLE/TANK STORAGE,"","","",12/01/14 05:12 AM,2
OC23-201505,201505,OC23,OC23,"","","",Wallace Geophysical Observatory,"2,034.38","1,617.25",0,HAY,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,UGB,"",1878100,1878100,42.61006,-71.48989,"658,888.89276","3,047,344.64548",OC23,GEORGE R. WALLACE JR.,WALLACE GEOPHYSICAL OBSERVATORY,"","",05/20/70 12:00 AM,12/01/14 05:12 AM,6
OC24-201505,201505,OC24,OC24,"","","",Haystack Antenna Facility,"9,060.39","7,042.49",849.63,HAY,OFFCAMPUS,1.00,1,ACADEMIC,LEASED,AER,UGB,"","","",42.61305,-71.49373,"657,854.40782","3,048,434.27866",OC24,"",HAYSTACK ANTENNA FACILITY,"","",01/01/80 12:00 AM,12/01/14 05:12 AM,31
W5-201505,201505,W5,W5,"","","",Ida Flansburgh Green Hall,"19,010.96","9,843.29","5,586.45",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,53.20,1345500,1345500,42.35692,-71.0951,"765,605.05647","2,955,350.09885",W05,IDA FLANSBURGH GREEN,GREEN HALL,12/31/01 12:00 AM,07/01/63 12:00 AM,12/31/70 12:00 AM,12/01/14 05:12 AM,110
W53C-201505,201505,W53C,W53C,"","","",Building W53C,180,0,151.33,MIT,WEST,2.00,2,SERVICE,OWNED,OTH,UGU,"","","","","","","",W53C,"",BUILDING W53C,10/01/08 12:00 AM,"","",12/01/14 05:12 AM,1
W57-201505,201505,W57,W57,"","","",Building W57,"2,030.11","1,849.2",30.67,MIT,WEST,2.00,2,SERVICE,OWNED,OTH,(NULL),0.00,"","","","","","",W57,"",BUILDING W57,06/18/12 12:00 AM,"","",12/01/14 05:12 AM,3
WW25-201505,201505,WW25,WW25,"","","",Building WW25,"2,300.01","2,300",0,MIT,WESTWEST,2.00,2,SERVICE,LEASED,OTH,UGS1,"","","",42.35574,-71.10633,"762,572.95558","2,954,905.50793",WW25,"",BUILDING WW25,"","","",12/01/14 05:12 AM,2
W85-201505,201505,W85,W85,"","","",Westgate  Married Student Housing,"115,603.99","84,270.83","25,211.66",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,167.30,1348000,1348000,42.355,-71.10326,"763,403.67751","2,954,639.62487",W85,"",WESTGATE,01/01/62 12:00 AM,"",08/01/63 12:00 AM,12/01/14 05:12 AM,327
W85A-201505,201505,W85A,W85A,W85ABC,WESTGATE (ABC),Westgate ABC,Westgate A Married Student Housing,"4,686.42","3,725.83",453.68,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85A,"",WESTGATE (A),"","","",12/01/14 05:12 AM,11
W85C-201505,201505,W85C,W85C,W85ABC,WESTGATE (ABC),Westgate ABC,Westgate C Married Student Housing,"4,661.33","3,701.95",454.98,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85C,"",WESTGATE (C),"","","",12/01/14 05:12 AM,10
W85J-201505,201505,W85J,W85J,W85HJK,WESTGATE (HJK),Westgate HJK,Westgate J Married Student Housing,"4,630.7","3,701.56",451.91,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85J,"",WESTGATE (J),"","","",12/01/14 05:12 AM,10
